Date,Account,Category,Subcategory,Note,INR,Income/Expense,Amount,Currency,Month,Day,Hour,Time_Diff
2022-01-04 22:11:00,CUB - online payment,Education,,Arrear and reval fee,1400.0,Expense,1400.0,INR,1,Tuesday,22,-16.316666666666666
2022-01-04 22:10:00,CUB - online payment,Salary,,Salary,8000.0,Income,8000.0,INR,1,Tuesday,22,-0.016666666666666666
2022-01-04 13:53:00,CUB - online payment,Food,,Lunch with company,106.0,Expense,106.0,INR,1,Tuesday,13,-8.283333333333333
2022-01-04 08:01:00,CUB - online payment,Other,,To vicky,80.0,Expense,80.0,INR,1,Tuesday,8,-5.866666666666666
2022-01-04 07:58:00,CUB - online payment,Food,,Sent to preethi,107.0,Expense,107.0,INR,1,Tuesday,7,-0.05
2022-01-03 22:15:00,CUB - online payment,Food,,Dairy milk,10.0,Expense,10.0,INR,1,Monday,22,-9.716666666666667
2022-01-03 21:54:00,CUB - online payment,Other,,From barath,201.0,Income,201.0,INR,1,Monday,21,-0.35
2022-01-03 21:12:00,CUB - online payment,Other,,From gpay,5.0,Income,5.0,INR,1,Monday,21,-0.7
2022-01-03 21:11:00,CUB - online payment,Other,,From shakur,140.0,Income,140.0,INR,1,Monday,21,-0.016666666666666666
2022-01-03 14:31:00,CUB - online payment,Food,,Lunch unlimited nv,300.0,Expense,300.0,INR,1,Monday,14,-6.666666666666667
2022-01-03 14:30:00,CUB - online payment,Other,,From abi,300.0,Income,300.0,INR,1,Monday,14,-0.016666666666666666
2022-01-02 20:33:00,CUB - online payment,Other,,Tablet to gowdham,8.0,Expense,8.0,INR,1,Sunday,20,-17.95
2022-01-02 20:32:00,CUB - online payment,Food,,Dinner with barath,200.0,Expense,200.0,INR,1,Sunday,20,-0.016666666666666666
2022-01-02 14:16:00,CUB - online payment,Transportation,,Train to vnr,725.0,Expense,725.0,INR,1,Sunday,14,-6.266666666666667
2022-01-01 21:46:00,CUB - online payment,Food,,Snacks,85.0,Expense,85.0,INR,1,Saturday,21,-16.5
2022-01-01 21:45:00,CUB - online payment,Allowance,,From dad,1000.0,Income,1000.0,INR,1,Saturday,21,-0.016666666666666666
2021-12-30 14:10:00,CUB - online payment,Food,,To barath,20.0,Expense,20.0,INR,12,Thursday,14,-55.583333333333336
2021-12-30 13:56:00,CUB - online payment,Transportation,,Pg to office,43.0,Expense,43.0,INR,12,Thursday,13,-0.23333333333333334
2021-12-30 13:36:00,CUB - online payment,Other,,From kumara,30.0,Income,30.0,INR,12,Thursday,13,-0.3333333333333333
2021-12-30 12:43:00,CUB - online payment,Food,,Horlicks + kolakattai,25.0,Expense,25.0,INR,12,Thursday,12,-0.8833333333333333
2021-12-30 12:38:00,CUB - online payment,Transportation,,Bommasandra to pg,199.0,Expense,199.0,INR,12,Thursday,12,-0.08333333333333333
2021-12-30 12:37:00,CUB - online payment,Other,,From Deepak,250.0,Income,250.0,INR,12,Thursday,12,-0.016666666666666666
2021-12-30 11:45:00,CUB - online payment,Food,,Water,20.0,Expense,20.0,INR,12,Thursday,11,-0.8666666666666667
2021-12-30 11:45:00,CUB - online payment,Other,,From abi,20.0,Income,20.0,INR,12,Thursday,11,0.0
2021-12-30 11:45:00,CUB - online payment,Transportation,,Rapido + toll,286.0,Expense,286.0,INR,12,Thursday,11,0.0
2021-12-30 11:44:00,CUB - online payment,Other,,From Deepak,250.0,Income,250.0,INR,12,Thursday,11,-0.016666666666666666
2021-12-28 13:42:00,CUB - online payment,Food,,Coffee and thattai,14.0,Expense,14.0,INR,12,Tuesday,13,-46.03333333333333
2021-12-27 13:45:00,CUB - online payment,Food,,Lunch with barath,115.0,Expense,115.0,INR,12,Monday,13,-23.95
2021-12-27 13:44:00,CUB - online payment,Other,,From vicky,80.0,Income,80.0,INR,12,Monday,13,-0.016666666666666666
2021-12-27 12:33:00,CUB - online payment,Other,,From ganesan,40.0,Income,40.0,INR,12,Monday,12,-1.1833333333333333
2021-12-27 12:33:00,CUB - online payment,Food,,Coconut water with stu,50.0,Expense,50.0,INR,12,Monday,12,0.0
2021-12-25 22:53:00,CUB - online payment,Food,,Dinner with barath,504.0,Expense,504.0,INR,12,Saturday,22,-37.666666666666664
2021-12-25 20:46:00,CUB - online payment,Transportation,,Cab,306.0,Expense,306.0,INR,12,Saturday,20,-2.1166666666666667
2021-12-25 19:50:00,CUB - online payment,Self-development,,Books,400.0,Expense,400.0,INR,12,Saturday,19,-0.9333333333333333
2021-12-25 17:01:00,CUB - online payment,Food,,Corn,30.0,Expense,30.0,INR,12,Saturday,17,-2.816666666666667
2021-12-25 15:35:00,CUB - online payment,Food,,Water,30.0,Expense,30.0,INR,12,Saturday,15,-1.4333333333333333
2021-12-25 13:32:00,CUB - online payment,Food,,Milk with bharath,40.0,Expense,40.0,INR,12,Saturday,13,-2.05
2021-12-24 21:49:00,CUB - online payment,Social Life,,Beer,150.0,Expense,150.0,INR,12,Friday,21,-15.716666666666667
2021-12-24 14:35:00,CUB - online payment,Food,,Lunch with company,262.0,Expense,262.0,INR,12,Friday,14,-7.233333333333333
2021-12-23 16:31:00,CUB - online payment,Food,,Lemon tea with company,15.0,Expense,15.0,INR,12,Thursday,16,-22.066666666666666
2021-12-23 13:51:00,CUB - online payment,Food,,Puffs and coffee,32.0,Expense,32.0,INR,12,Thursday,13,-2.6666666666666665
2021-12-21 20:53:00,CUB - online payment,Food,,Dinner with barath,239.0,Expense,239.0,INR,12,Tuesday,20,-40.96666666666667
2021-12-21 14:02:00,CUB - online payment,Food,,Puffs,25.0,Expense,25.0,INR,12,Tuesday,14,-6.85
2021-12-21 11:43:00,CUB - online payment,Food,,Bun,18.0,Expense,18.0,INR,12,Tuesday,11,-2.316666666666667
2021-12-20 19:23:00,CUB - online payment,Food,,Milk with bharath,80.0,Expense,80.0,INR,12,Monday,19,-16.333333333333332
2021-12-20 19:22:00,CUB - online payment,Transportation,,Taxi,80.0,Expense,80.0,INR,12,Monday,19,-0.016666666666666666
2021-12-20 16:55:00,CUB - online payment,Food,,Snacks,20.0,Expense,20.0,INR,12,Monday,16,-2.45
2021-12-20 15:29:00,CUB - online payment,Food,,Water,20.0,Expense,20.0,INR,12,Monday,15,-1.4333333333333333
2021-12-20 13:35:00,CUB - online payment,Food,,Lunch with barath,85.0,Expense,85.0,INR,12,Monday,13,-1.9
2021-12-20 09:46:00,CUB - online payment,Food,,Milk with bharath,40.0,Expense,40.0,INR,12,Monday,9,-3.816666666666667
2021-12-19 15:51:00,CUB - online payment,Other,,To siva,100.0,Expense,100.0,INR,12,Sunday,15,-17.916666666666668
2021-12-18 21:01:00,CUB - online payment,Other,,To kumara,100.0,Expense,100.0,INR,12,Saturday,21,-18.833333333333332
2021-12-18 21:01:00,CUB - online payment,Other,,To abijith,200.0,Expense,200.0,INR,12,Saturday,21,0.0
2021-12-18 21:00:00,CUB - online payment,Food,,To rahul,113.0,Expense,113.0,INR,12,Saturday,21,-0.016666666666666666
2021-12-18 21:00:00,CUB - online payment,Allowance,,From dad,1000.0,Income,1000.0,INR,12,Saturday,21,0.0
2021-12-18 19:52:00,CUB - online payment,Other,,Lended money,400.0,Income,400.0,INR,12,Saturday,19,-1.1333333333333333
2021-12-18 19:51:00,CUB - online payment,Social Life,,Spiderman ,363.72,Expense,363.72,INR,12,Saturday,19,-0.016666666666666666
2021-12-18 14:19:00,CUB - online payment,Food,,Lunch,160.0,Expense,160.0,INR,12,Saturday,14,-5.533333333333333
2021-12-17 18:54:00,CUB - online payment,Food,,Milk with bharath,70.0,Expense,70.0,INR,12,Friday,18,-19.416666666666668
2021-12-17 14:45:00,CUB - online payment,Food,,Lunch with company,110.0,Expense,110.0,INR,12,Friday,14,-4.15
2021-12-17 08:35:00,CUB - online payment,Other,,Gave to gowdham,50.0,Expense,50.0,INR,12,Friday,8,-6.166666666666667
2021-12-16 18:44:00,CUB - online payment,Food,,Egg,30.0,Expense,30.0,INR,12,Thursday,18,-13.85
2021-12-16 18:35:00,CUB - online payment,Food,,Panipoori,20.0,Expense,20.0,INR,12,Thursday,18,-0.15
2021-12-16 13:38:00,CUB - online payment,Food,,Lunch,30.0,Expense,30.0,INR,12,Thursday,13,-4.95
2021-12-16 10:42:00,CUB - online payment,Food,,Milk with bharath,110.0,Expense,110.0,INR,12,Thursday,10,-2.933333333333333
2021-12-14 23:54:00,CUB - online payment,Food,,Lunch,40.0,Expense,40.0,INR,12,Tuesday,23,-34.8
2021-12-14 21:21:00,CUB - online payment,Food,,Snacks,75.0,Expense,75.0,INR,12,Tuesday,21,-2.55
2021-12-14 21:03:00,CUB - online payment,Food,,Panipoori,80.0,Expense,80.0,INR,12,Tuesday,21,-0.3
2021-12-14 15:18:00,CUB - online payment,Food,,Snacks,74.0,Expense,74.0,INR,12,Tuesday,15,-5.75
2021-12-14 10:33:00,CUB - online payment,Food,,Milk with bharath,65.0,Expense,65.0,INR,12,Tuesday,10,-4.75
2021-12-12 21:47:00,CUB - online payment,Food,,Milk with bharath,25.0,Expense,25.0,INR,12,Sunday,21,-36.766666666666666
2021-12-11 09:22:00,CUB - online payment,Allowance,,From dad,1000.0,Income,1000.0,INR,12,Saturday,9,-36.416666666666664
2021-12-11 08:20:00,CUB - online payment,Other,,From stu,240.0,Income,240.0,INR,12,Saturday,8,-1.0333333333333334
2021-12-10 21:38:00,CUB - online payment,Food,,Shopping,241.0,Expense,241.0,INR,12,Friday,21,-10.7
2021-12-10 20:55:00,CUB - online payment,Food,,Momos,195.0,Expense,195.0,INR,12,Friday,20,-0.7166666666666667
2021-12-09 20:03:00,CUB - online payment,Food,,Snack with bharath,40.0,Expense,40.0,INR,12,Thursday,20,-24.866666666666667
2021-12-09 14:01:00,CUB - online payment,Food,,Lunch with company,280.0,Expense,280.0,INR,12,Thursday,14,-6.033333333333333
2021-12-09 09:56:00,CUB - online payment,Food,,Milk with bharath,25.0,Expense,25.0,INR,12,Thursday,9,-4.083333333333333
2021-12-09 08:47:00,CUB - online payment,Food,,Breakfast with stu,110.0,Expense,110.0,INR,12,Thursday,8,-1.15
2021-12-08 14:15:00,CUB - online payment,Food,,Lunch with stu,100.0,Expense,100.0,INR,12,Wednesday,14,-18.533333333333335
2021-12-08 14:15:00,Cash,Food,,5 star,1120.72,Expense,15.0,USD,12,Wednesday,14,0.0
2021-12-08 07:17:00,CUB - online payment,Food,,Milk,10.0,Expense,10.0,INR,12,Wednesday,7,-6.966666666666667
2021-12-07 09:54:00,CUB - online payment,Food,,Milk with bharath,25.0,Expense,25.0,INR,12,Tuesday,9,-21.383333333333333
2021-12-07 07:59:00,CUB - online payment,Food,,Horlicks,15.0,Expense,15.0,INR,12,Tuesday,7,-1.9166666666666667
2021-12-06 21:59:00,CUB - online payment,Food,,Milk with bharath,25.0,Expense,25.0,INR,12,Monday,21,-10.0
2021-12-06 20:07:00,CUB - online payment,Apparel,,Shoe,500.0,Expense,500.0,INR,12,Monday,20,-1.8666666666666667
2021-12-06 19:57:00,CUB - online payment,Apparel,,Cap,140.0,Expense,140.0,INR,12,Monday,19,-0.16666666666666666
2021-12-06 14:08:00,CUB - online payment,Food,,Lunch with stu,150.0,Expense,150.0,INR,12,Monday,14,-5.816666666666666
2021-12-05 19:45:00,CUB - online payment,Food,,Milk with bharath,25.0,Expense,25.0,INR,12,Sunday,19,-18.383333333333333
2021-12-05 18:41:00,CUB - online payment,Apparel,,Full hand and a hoodie,1800.0,Expense,1800.0,INR,12,Sunday,18,-1.0666666666666667
2021-12-05 12:23:00,CUB - online payment,Household,,Rent,4800.0,Expense,4800.0,INR,12,Sunday,12,-6.3
2021-12-05 12:23:00,CUB - online payment,Allowance,,From dad,8000.0,Income,8000.0,INR,12,Sunday,12,0.0
2021-12-04 21:05:00,CUB - online payment,Food,,Dinner,324.0,Expense,324.0,INR,12,Saturday,21,-15.3
2021-12-04 20:20:00,CUB - online payment,Food,,Snack,65.0,Expense,65.0,INR,12,Saturday,20,-0.75
2021-12-04 13:54:00,CUB - online payment,Other,,For company,30.0,Expense,30.0,INR,12,Saturday,13,-6.433333333333334
2021-12-04 10:13:00,CUB - online payment,Food,,Breakfast,200.0,Expense,200.0,INR,12,Saturday,10,-3.683333333333333
2021-12-03 21:59:00,CUB - online payment,Food,,Milk with bharath,25.0,Expense,25.0,INR,12,Friday,21,-12.233333333333333
2021-12-03 21:59:00,CUB - online payment,Apparel,,Belt,130.0,Expense,130.0,INR,12,Friday,21,0.0
2021-12-03 21:28:00,CUB - online payment,Apparel,,Mask,20.0,Expense,20.0,INR,12,Friday,21,-0.5166666666666667
2021-12-03 21:28:00,CUB - online payment,Food,,Snack,40.0,Expense,40.0,INR,12,Friday,21,0.0
2021-12-03 21:28:00,CUB - online payment,Allowance,,From dad,1000.0,Income,1000.0,INR,12,Friday,21,0.0
2021-12-02 20:07:00,CUB - online payment,Food,,Ice cream,504.0,Expense,504.0,INR,12,Thursday,20,-25.35
2021-12-02 19:48:00,CUB - online payment,Food,,Vadapaav,75.0,Expense,75.0,INR,12,Thursday,19,-0.31666666666666665
2021-12-01 19:57:00,CUB - online payment,Beauty,,Showergel,196.0,Expense,196.0,INR,12,Wednesday,19,-23.85
2021-12-01 14:00:00,CUB - online payment,Food,,Lunch with company,160.0,Expense,160.0,INR,12,Wednesday,14,-5.95
2021-11-30 14:24:00,CUB - online payment,Gift,,Bharath birthday,115.0,Expense,115.0,INR,11,Tuesday,14,-23.6
2021-11-30 14:17:00,CUB - online payment,Food,,Lunch with company,128.0,Expense,128.0,INR,11,Tuesday,14,-0.11666666666666667
2021-11-30 10:11:00,CUB - online payment,Food,,Breakfast,70.0,Expense,70.0,INR,11,Tuesday,10,-4.1
2021-11-29 20:47:00,CUB - online payment,Food,,Lunch with company,40.0,Expense,40.0,INR,11,Monday,20,-13.4
2021-11-29 20:47:00,CUB - online payment,Food,,Dinner,50.0,Expense,50.0,INR,11,Monday,20,0.0
2021-11-29 20:09:00,CUB - online payment,Food,,Panipoori,40.0,Expense,40.0,INR,11,Monday,20,-0.6333333333333333
2021-11-29 09:29:00,CUB - online payment,Food,,Breakfast,40.0,Expense,40.0,INR,11,Monday,9,-10.666666666666666
2021-11-28 19:59:00,CUB - online payment,Food,,Snack,94.0,Expense,94.0,INR,11,Sunday,19,-13.5
2021-11-28 13:10:00,CUB - online payment,Food,,Zomato,269.4,Expense,269.4,INR,11,Sunday,13,-6.816666666666666
2021-11-27 23:14:00,CUB - online payment,Food,,Dinner with gowdham,120.0,Expense,120.0,INR,11,Saturday,23,-13.933333333333334
2021-11-27 22:34:00,CUB - online payment,Food,,Dinner with gowdham,130.0,Expense,130.0,INR,11,Saturday,22,-0.6666666666666666
2021-11-27 18:41:00,CUB - online payment,Transportation,,Rapido,35.0,Expense,35.0,INR,11,Saturday,18,-3.8833333333333333
2021-11-27 13:46:00,CUB - online payment,Food,,Lunch with company,75.0,Expense,75.0,INR,11,Saturday,13,-4.916666666666667
2021-11-27 13:46:00,CUB - online payment,Allowance,,From dad,2000.0,Income,2000.0,INR,11,Saturday,13,0.0
2021-11-27 09:33:00,CUB - online payment,Food,,Breakfast,30.0,Expense,30.0,INR,11,Saturday,9,-4.216666666666667
2021-11-26 21:56:00,CUB - online payment,Food,,Beer,150.0,Expense,150.0,INR,11,Friday,21,-11.616666666666667
2021-11-26 20:57:00,CUB - online payment,Food,,Snack,102.0,Expense,102.0,INR,11,Friday,20,-0.9833333333333333
2021-11-26 20:15:00,CUB - online payment,Food,,Panipoori,40.0,Expense,40.0,INR,11,Friday,20,-0.7
2021-11-26 14:14:00,CUB - online payment,Petty cash,,Cashback,3.0,Income,3.0,INR,11,Friday,14,-6.016666666666667
2021-11-26 14:14:00,CUB - online payment,Food,,Lunch with company,150.0,Expense,150.0,INR,11,Friday,14,0.0
2021-11-26 09:22:00,CUB - online payment,Food,,Breakfast,60.0,Expense,60.0,INR,11,Friday,9,-4.866666666666666
2021-11-25 20:27:00,CUB - online payment,Food,,Lunch with company,145.0,Expense,145.0,INR,11,Thursday,20,-12.916666666666666
2021-11-25 20:27:00,CUB - online payment,Transportation,,Rapido,58.0,Expense,58.0,INR,11,Thursday,20,0.0
2021-11-25 20:27:00,CUB - online payment,Food,,Dinner,95.0,Expense,95.0,INR,11,Thursday,20,0.0
2021-11-24 19:26:00,CUB - online payment,Food,,Snack,15.0,Expense,15.0,INR,11,Wednesday,19,-25.016666666666666
2021-11-24 19:23:00,CUB - online payment,Food,,Dinner,70.0,Expense,70.0,INR,11,Wednesday,19,-0.05
2021-11-24 19:06:00,CUB - online payment,Food,,Panipoori,20.0,Expense,20.0,INR,11,Wednesday,19,-0.2833333333333333
2021-11-24 19:06:00,CUB - online payment,Transportation,,Rapido,58.0,Expense,58.0,INR,11,Wednesday,19,0.0
2021-11-23 22:53:00,CUB - online payment,Transportation,,Rapido,50.0,Expense,50.0,INR,11,Tuesday,22,-20.216666666666665
2021-11-23 22:53:00,CUB - online payment,Food,,Dinner,179.0,Expense,179.0,INR,11,Tuesday,22,0.0
2021-11-22 14:16:00,CUB - online payment,Food,,Dinner,90.0,Expense,90.0,INR,11,Monday,14,-32.61666666666667
2021-11-22 14:16:00,CUB - online payment,Food,,Lunch with company,97.0,Expense,97.0,INR,11,Monday,14,0.0
2021-11-21 17:07:00,CUB - online payment,Transportation,,Rapido,130.0,Expense,130.0,INR,11,Sunday,17,-21.15
2021-11-21 15:50:00,CUB - online payment,Food,,Lunch,875.0,Expense,875.0,INR,11,Sunday,15,-1.2833333333333334
2021-11-21 13:30:00,CUB - online payment,Other,,Got from gobi,2000.0,Income,2000.0,INR,11,Sunday,13,-2.3333333333333335
